,Fruit_length,Fruit_diameter,Seed_length,Seed_diameter,CONSUMER,INTSTR,TYPE,Reintro
5866,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
5926,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
5974,8,7.6,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6015,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6062,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6110,13.2,11.6,6.58,0.3,Thylopsis sordida,0.5,Passeriformes,PNT
6161,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6209,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6257,6.5,4.5,3,2.5,Thylopsis sordida,0.5,Passeriformes,PNT
6308,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6356,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
6403,NA,NA,NA,NA,Thylopsis sordida,0.5,Passeriformes,PNT
9741,3.5,2.7,2,1.7,Thylopsis sordida,1,Passeriformes,PNT
9768,14.6,6.5,7.6,6.9,Thylopsis sordida,0.5,Passeriformes,PNT
9794,18,13,6,3.5,Thylopsis sordida,0.5,Passeriformes,PNT
9824,15.35,6.3,10.3,5.7,Thylopsis sordida,0.5,Passeriformes,PNT
9858,8.4,5.1,7,3,Thylopsis sordida,0.5,Passeriformes,PNT
10027,3,2,1,1,Thylopsis sordida,0.5,Passeriformes,PNT
104,NA,NA,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
160,5.8,4.7,5.8,4.1,Tolmomyias sulphurescens,1,Passeriformes,PNT
410,7.7,7.5,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
448,11.7,11,5.4,4.5,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
471,29,28,8,7,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
520,3,3,2,1.3,Tolmomyias sulphurescens,1,Passeriformes,PNT
4141,NA,NA,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4227,2.6,3,NA,1,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4286,4.6,3.4,0.5,0.4,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4379,NA,NA,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4425,3.3,4,3.3,3.1,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4528,3.7,4.5,1.4,1.3,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4599,3.51,2.54,0.4,0.3,Tolmomyias sulphurescens,1,Passeriformes,PNT
4686,NA,NA,NA,1,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4754,NA,NA,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4836,NA,NA,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4921,3.6,3,1,0.85,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
4955,1.9,2.3,1,1,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5059,NA,NA,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5133,3.2,3.4,0.6,0.61,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5167,4.5,4.5,2.7,1.6,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5247,3.2,3.54,1.21,1.34,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5323,6.3,6,NA,NA,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5411,5,4,0.7,0.4,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5544,3.4,3.6,1,1,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
5582,4.4,3.9,1.1,0.9,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
8178,17.26,10.76,9.23,7.5,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
8206,NA,NA,4.84,4,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
9740,3.5,2.7,2,1.7,Tolmomyias sulphurescens,1,Passeriformes,PNT
9769,14.6,6.5,7.6,6.9,Tolmomyias sulphurescens,1,Passeriformes,PNT
9801,18,13,6,3.5,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
9836,15.35,6.3,10.3,5.7,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
9859,8.4,5.1,7,3,Tolmomyias sulphurescens,0.5,Passeriformes,PNT
591,230,12.62,2,0.62,Tonatia bidens,1,Chiroptera,PNT
617,230,20.58,2.9,0.98,Tonatia bidens,0.5,Chiroptera,PNT
691,NA,NA,NA,NA,Tonatia bidens,0.5,Chiroptera,PNT
757,200,10,2,0.61,Tonatia bidens,0.75,Chiroptera,PNT
72,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
144,5.8,4.7,5.8,4.1,Trichothraupis melanops,1,Passeriformes,PNT
405,7.7,7.5,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
451,11.7,11,5.4,4.5,Trichothraupis melanops,0.5,Passeriformes,PNT
481,29,28,8,7,Trichothraupis melanops,0.5,Passeriformes,PNT
514,3,3,2,1.3,Trichothraupis melanops,1,Passeriformes,PNT
555,230,12.62,2,0.62,Trichothraupis melanops,0.5,Passeriformes,PNT
648,230,20.58,2.9,0.98,Trichothraupis melanops,0.5,Passeriformes,PNT
721,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
794,200,10,2,0.61,Trichothraupis melanops,1,Passeriformes,PNT
895,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
1226,30,23,13,11,Trichothraupis melanops,1,Passeriformes,PNT
1242,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
1279,8,3.7,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
1316,9.4,5.4,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
1341,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
1360,15.54,7.18,11.1,6.54,Trichothraupis melanops,0.5,Passeriformes,PNT
2353,32,23,1,0.5,Trichothraupis melanops,0.5,Passeriformes,PNT
2410,5,6,1.2,0.7,Trichothraupis melanops,0.5,Passeriformes,PNT
2461,14,12,1.4,1.2,Trichothraupis melanops,0.5,Passeriformes,PNT
2537,14,14,1.2,1,Trichothraupis melanops,0.5,Passeriformes,PNT
2586,16.6,18,1,0.5,Trichothraupis melanops,0.5,Passeriformes,PNT
2654,19.81,23.09,0.5,0.4,Trichothraupis melanops,0.5,Passeriformes,PNT
2701,7,6,0.5,0.3,Trichothraupis melanops,0.5,Passeriformes,PNT
2784,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
2818,17,20,2.8,1.7,Trichothraupis melanops,0.5,Passeriformes,PNT
2887,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
2947,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3009,10,8,0.9,0.7,Trichothraupis melanops,0.5,Passeriformes,PNT
3066,8,7,0.7,0.7,Trichothraupis melanops,0.5,Passeriformes,PNT
3125,8,8,1.1,1.1,Trichothraupis melanops,0.5,Passeriformes,PNT
3161,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3207,17.93,18,0.8,0.7,Trichothraupis melanops,0.5,Passeriformes,PNT
3283,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3634,6.4,5.5,NA,NA,Trichothraupis melanops,1,Passeriformes,PNT
3659,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3673,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3699,5.1,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3708,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3737,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3752,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3781,9.3,7.5,NA,1,Trichothraupis melanops,1,Passeriformes,PNT
3796,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3819,NA,NA,1,1,Trichothraupis melanops,0.5,Passeriformes,PNT
3827,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
3849,NA,NA,NA,1,Trichothraupis melanops,0.5,Passeriformes,PNT
3872,4.2,3.2,NA,1,Trichothraupis melanops,1,Passeriformes,PNT
4080,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
4169,2.6,3,NA,1,Trichothraupis melanops,0.5,Passeriformes,PNT
4247,4.6,3.4,0.5,0.4,Trichothraupis melanops,0.5,Passeriformes,PNT
4318,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
4390,3.3,4,3.3,3.1,Trichothraupis melanops,1,Passeriformes,PNT
4519,3.7,4.5,1.4,1.3,Trichothraupis melanops,0.5,Passeriformes,PNT
4543,3.51,2.54,0.4,0.3,Trichothraupis melanops,1,Passeriformes,PNT
4638,NA,NA,NA,1,Trichothraupis melanops,0.5,Passeriformes,PNT
4700,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
4838,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
4893,3.6,3,1,0.85,Trichothraupis melanops,1,Passeriformes,PNT
4994,1.9,2.3,1,1,Trichothraupis melanops,1,Passeriformes,PNT
5078,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
5163,3.2,3.4,0.6,0.61,Trichothraupis melanops,0.5,Passeriformes,PNT
5241,4.5,4.5,2.7,1.6,Trichothraupis melanops,1,Passeriformes,PNT
5319,3.2,3.54,1.21,1.34,Trichothraupis melanops,0.5,Passeriformes,PNT
5397,6.3,6,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
5474,5,4,0.7,0.4,Trichothraupis melanops,1,Passeriformes,PNT
5547,3.4,3.6,1,1,Trichothraupis melanops,1,Passeriformes,PNT
5612,4.4,3.9,1.1,0.9,Trichothraupis melanops,1,Passeriformes,PNT
6954,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
6968,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
6995,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7019,15,15,14,14,Trichothraupis melanops,0.5,Passeriformes,PNT
7038,16.2,1.6,16,10.6,Trichothraupis melanops,0.5,Passeriformes,PNT
7060,9,NA,8,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7076,9,7,8,5,Trichothraupis melanops,0.5,Passeriformes,PNT
7094,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7122,NA,NA,NA,7,Trichothraupis melanops,0.5,Passeriformes,PNT
7155,34.5,20,29,17,Trichothraupis melanops,0.5,Passeriformes,PNT
7170,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7202,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7220,15,12.4,12.7,10.6,Trichothraupis melanops,0.5,Passeriformes,PNT
7243,8,16,7,13.6,Trichothraupis melanops,0.5,Passeriformes,PNT
7267,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7291,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7305,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7328,21.83,12.98,12,5,Trichothraupis melanops,0.5,Passeriformes,PNT
7343,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7358,20,15,15,11,Trichothraupis melanops,0.5,Passeriformes,PNT
7401,21,17,20,16,Trichothraupis melanops,0.5,Passeriformes,PNT
7421,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7432,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7463,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7474,NA,NA,NA,NA,Trichothraupis melanops,1,Passeriformes,PNT
7485,5.2,4.2,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7493,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7502,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7517,4.9,4.4,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7527,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7577,4.2,2.3,4,2.6,Trichothraupis melanops,1,Passeriformes,PNT
7591,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7634,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7639,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
7645,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8197,17.26,10.76,9.23,7.5,Trichothraupis melanops,0.5,Passeriformes,PNT
8232,NA,NA,4.84,4,Trichothraupis melanops,0.5,Passeriformes,PNT
8316,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8342,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8369,5.2,5.5,5,4.3,Trichothraupis melanops,0.5,Passeriformes,PNT
8391,5.09,4.02,3,2.4,Trichothraupis melanops,0.5,Passeriformes,PNT
8420,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8438,8,9,3,2.4,Trichothraupis melanops,0.5,Passeriformes,PNT
8473,5.4,6.2,4,3,Trichothraupis melanops,0.5,Passeriformes,PNT
8496,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8527,8.7,7,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8553,NA,11,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8569,11,13,4,3,Trichothraupis melanops,0.5,Passeriformes,PNT
8606,0.4,3.7,NA,NA,Trichothraupis melanops,1,Passeriformes,PNT
8609,5.84,5.79,1.09,0.58,Trichothraupis melanops,0.5,Passeriformes,PNT
8619,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8635,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8647,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8652,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8663,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8672,6,5,1.2,0.6,Trichothraupis melanops,0.5,Passeriformes,PNT
8684,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8690,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8701,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8712,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8721,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8731,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8743,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8750,7.62,8.36,1.05,0.52,Trichothraupis melanops,0.5,Passeriformes,PNT
8764,5.94,7.05,1.47,0.71,Trichothraupis melanops,0.5,Passeriformes,PNT
8776,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
8784,4.51,4.49,1.02,0.56,Trichothraupis melanops,1,Passeriformes,PNT
8793,15,12.6,1.5,1,Trichothraupis melanops,1,Passeriformes,PNT
8821,10,8,2.2,1.4,Trichothraupis melanops,1,Passeriformes,PNT
8884,6,6,3.5,3.5,Trichothraupis melanops,1,Passeriformes,PNT
9032,6,6.2,1.4,1,Trichothraupis melanops,1,Passeriformes,PNT
9051,20,11,2.2,2,Trichothraupis melanops,0.5,Passeriformes,PNT
9119,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9147,15,10,2.5,2,Trichothraupis melanops,0.5,Passeriformes,PNT
9204,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9224,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9260,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9290,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9332,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9378,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9428,NA,NA,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9465,7.6,6.3,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9509,NA,8,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9715,3.5,2.7,2,1.7,Trichothraupis melanops,1,Passeriformes,PNT
9759,14.6,6.5,7.6,6.9,Trichothraupis melanops,0.5,Passeriformes,PNT
9793,18,13,6,3.5,Trichothraupis melanops,0.5,Passeriformes,PNT
9833,15.35,6.3,10.3,5.7,Trichothraupis melanops,0.5,Passeriformes,PNT
9868,8.4,5.1,7,3,Trichothraupis melanops,0.5,Passeriformes,PNT
9885,5,4.3,2,2,Trichothraupis melanops,1,Passeriformes,PNT
9900,4.7,3.5,NA,NA,Trichothraupis melanops,0.5,Passeriformes,PNT
9911,3.5,2.5,1,0.8,Trichothraupis melanops,0.5,Passeriformes,PNT
10,14.4,11.6,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
49,8,4,4,2,Turdus albicolis,0.5,Passeriformes,PNT
62,17,10,16,9,Turdus albicolis,0.75,Passeriformes,PNT
66,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
145,5.8,4.7,5.8,4.1,Turdus albicolis,1,Passeriformes,PNT
192,8.73,7.86,7.69,5.74,Turdus albicolis,1,Passeriformes,PNT
201,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
223,17,10,4.6,3.5,Turdus albicolis,1,Passeriformes,PNT
244,19.38,9.24,4.6,3.61,Turdus albicolis,1,Passeriformes,PNT
363,28,25,10,9,Turdus albicolis,1,Passeriformes,PNT
379,11,13,8,8,Turdus albicolis,0.5,Passeriformes,PNT
392,7.7,7.5,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
425,11.7,11,5.4,4.5,Turdus albicolis,0.5,Passeriformes,PNT
483,29,28,8,7,Turdus albicolis,0.5,Passeriformes,PNT
503,3,3,2,1.3,Turdus albicolis,0.5,Passeriformes,PNT
569,230,12.62,2,0.62,Turdus albicolis,1,Passeriformes,PNT
610,230,20.58,2.9,0.98,Turdus albicolis,0.5,Passeriformes,PNT
676,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
765,200,10,2,0.61,Turdus albicolis,0.5,Passeriformes,PNT
855,13,11,NA,1.8,Turdus albicolis,1,Passeriformes,PNT
886,40,41,6.5,3.1,Turdus albicolis,0.5,Passeriformes,PNT
910,28.79,21.42,17,11,Turdus albicolis,1,Passeriformes,PNT
922,30.69,21.17,21.6,12.49,Turdus albicolis,0.5,Passeriformes,PNT
950,31,23,18.3,11.53,Turdus albicolis,0.5,Passeriformes,PNT
967,4,3.4,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
978,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
996,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1006,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1029,9,10,7.5,5.5,Turdus albicolis,0.5,Passeriformes,PNT
1041,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1054,20,22,15,10,Turdus albicolis,0.5,Passeriformes,PNT
1078,20,18,13,9,Turdus albicolis,0.5,Passeriformes,PNT
1106,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1145,28.29,11,11.8,9.7,Turdus albicolis,1,Passeriformes,PNT
1174,23,27,17,9.3,Turdus albicolis,0.5,Passeriformes,PNT
1267,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1285,8,3.7,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1303,9.4,5.4,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1351,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1377,15.54,7.18,11.1,6.54,Turdus albicolis,0.5,Passeriformes,PNT
1405,12.6,9,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1428,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1449,9.58,13.05,7.1,4.45,Turdus albicolis,0.5,Passeriformes,PNT
1474,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1507,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1522,16,11,13,8.5,Turdus albicolis,0.5,Passeriformes,PNT
1550,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1561,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1581,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1606,NA,NA,9.29,6.5,Turdus albicolis,0.5,Passeriformes,PNT
1634,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1656,12,11,10,9.5,Turdus albicolis,0.5,Passeriformes,PNT
1684,22,15,12,7,Turdus albicolis,0.5,Passeriformes,PNT
1701,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1728,36.1,26.7,10,8.3,Turdus albicolis,0.5,Passeriformes,PNT
1761,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1781,35,34.6,8.91,7.76,Turdus albicolis,0.5,Passeriformes,PNT
1818,NA,29,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1844,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1858,32.2,22.3,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1876,20.7,19.13,16.4,14.46,Turdus albicolis,0.5,Passeriformes,PNT
1902,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1933,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1947,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
1973,18.2,9.7,18.9,9.41,Turdus albicolis,0.5,Passeriformes,PNT
1989,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2014,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2038,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2066,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2107,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2121,5,8,4,7,Turdus albicolis,0.5,Passeriformes,PNT
2151,31,18,26,16,Turdus albicolis,0.5,Passeriformes,PNT
2175,9.9,6.9,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2199,18.7,16.4,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2214,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2239,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2258,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2287,NA,1,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2303,12.8,12.46,11.7,10,Turdus albicolis,1,Passeriformes,PNT
2334,32,23,1,0.5,Turdus albicolis,0.5,Passeriformes,PNT
2389,5,6,1.2,0.7,Turdus albicolis,0.5,Passeriformes,PNT
2452,14,12,1.4,1.2,Turdus albicolis,0.5,Passeriformes,PNT
2522,14,14,1.2,1,Turdus albicolis,0.5,Passeriformes,PNT
2561,16.6,18,1,0.5,Turdus albicolis,0.5,Passeriformes,PNT
2652,19.81,23.09,0.5,0.4,Turdus albicolis,0.5,Passeriformes,PNT
2695,7,6,0.5,0.3,Turdus albicolis,0.5,Passeriformes,PNT
2739,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2792,17,20,2.8,1.7,Turdus albicolis,0.5,Passeriformes,PNT
2857,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2941,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
2991,10,8,0.9,0.7,Turdus albicolis,0.5,Passeriformes,PNT
3064,8,7,0.7,0.7,Turdus albicolis,1,Passeriformes,PNT
3132,8,8,1.1,1.1,Turdus albicolis,0.5,Passeriformes,PNT
3180,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3240,17.93,18,0.8,0.7,Turdus albicolis,0.5,Passeriformes,PNT
3274,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3321,10,10,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3328,9,9,7.5,7.5,Turdus albicolis,0.5,Passeriformes,PNT
3335,10,8,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3347,6.95,6.53,6.1,3.84,Turdus albicolis,1,Passeriformes,PNT
3379,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3406,16,12,13,10,Turdus albicolis,0.5,Passeriformes,PNT
3416,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3446,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3507,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3527,4.8,4.7,4.8,2.6,Turdus albicolis,0.5,Passeriformes,PNT
3605,8,6,5,4,Turdus albicolis,0.75,Passeriformes,PNT
3640,6.4,5.5,NA,NA,Turdus albicolis,1,Passeriformes,PNT
3665,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3681,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3705,5.1,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3709,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3727,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3754,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3767,9.3,7.5,NA,1,Turdus albicolis,0.5,Passeriformes,PNT
3803,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3825,NA,NA,1,1,Turdus albicolis,0.5,Passeriformes,PNT
3845,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
3854,NA,NA,NA,1,Turdus albicolis,0.5,Passeriformes,PNT
3873,4.2,3.2,NA,1,Turdus albicolis,1,Passeriformes,PNT
3922,9.76,2,9.7,9.85,Turdus albicolis,0.5,Passeriformes,PNT
3934,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
4018,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
4027,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
4036,6.7,4.6,11,7.41,Turdus albicolis,0.5,Passeriformes,PNT
4045,14,9.1,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
4050,25,14,12,8,Turdus albicolis,0.5,Passeriformes,PNT
4061,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
4066,8,6,NA,6.8,Turdus albicolis,0.5,Passeriformes,PNT
4102,NA,NA,NA,NA,Turdus albicolis,0.5,Passeriformes,PNT
4166,2.6,3,NA,1,Turdus albicolis,0.5,Passeriformes,PNT
4276,4.6,3.4,0.5,0.4,Turdus albicolis,0.5,Passeriformes,PNT
